"","connector","x","y","z","skid1","skid2"
"11681",6954457,61609.97,104366.984,25920,2166046,1654326
"11682",6954465,62545.05,103877.65,25760,2166046,1473394
"11683",6954488,84499.65,81147.84,26200,1527987,1840101
"11684",6954489,44610.758,89330.234,34080,2166058,1594711
"11685",6954497,44189.82,87966.05,34400,1975824,2166058
"11686",6954498,44602.477,89060.484,34400,1593894,2166058
"11687",6954499,48850.414,80540.516,40080,2166072,1593527
"11688",6954505,51233.055,78465.266,40080,1595935,2166072
"11689",6955872,51701.64,96381.18,124840,1504628,1050298
"11690",6956601,100285.81,55573.074,92440,942028,1647016
"11691",6956604,100327.55,56373.355,92440,1463843,1756206
"11692",6956612,110993.67,53365.69,64000,944377,2172047
"11693",6957551,73635.53,98857.336,23560,1800092,1410714
"11694",6957568,79766.95,98269.805,23680,1800092,1410714
"11695",6959281,117286.52,96987.86,85920,1421448,1919206
"11696",6959730,81568.77,124103.39,150000,1275010,1671510
"11697",6960146,81405.26,118464.586,156240,1943251,1275010
"11698",6960149,77916.35,112082.05,158040,1784341,1275010
"11699",6979959,87689.15,101775.67,25120,1800092,1387747
"11700",6979960,85604.18,102311.69,24000,1746385,1839764
"11701",6979961,85560.37,101802.29,24000,1568903,1839764
"11702",6980074,49674.254,127113.24,146000,1942065,2184018
"11703",6980075,49418.543,127166.14,146000,1942065,992125
"11704",6987681,102241.195,120685.86,82040,2237620,1277150
"11705",6987682,107250.41,123630.79,82040,2237620,557403
"11706",6987683,109979.195,116946.44,82080,556693,1649437
"11707",6990177,94197.15,100444.34,29880,1718492,1800092
"11708",6990222,29545.186,60745.477,63960,1681253,137882
"11709",6995355,30153.426,68894.055,73800,1586605,1834904
"11710",6995393,43201.695,71190.76,20480,1373375,1411755
"11711",6995434,43198.547,72047.37,19680,1373375,1411755
"11712",6995444,43357.11,70668.14,21000,1373375,1411755
"11713",6995445,43124.02,71495.32,20240,1373375,1411755
"11714",6995446,43201.23,73895.914,18280,1339675,805516
"11715",6995573,50562.418,56563.95,35120,2202235,1453924
"11716",6995582,50886.56,56107.62,35120,1669887,2202235
"11717",6995591,51557.44,55785.02,35000,2202235,1398380
"11718",6995596,51149,55881.855,35000,1669887,2202235
"11719",6995622,98766.73,56968.523,35000,1841991,1356116
"11720",6995630,98022.47,54211.047,35000,1841991,1405261
"11721",6995633,97623,53303.977,35000,1841991,1583499
"11722",6995634,98983.76,57790.785,35000,1841991,1273900
"11723",6995639,98739.14,57681.234,34720,1273900,1356116
"11724",6995651,98479.47,51192.9,33960,1771545,1841991
"11725",6995760,30258.654,97566.65,46080,1655193,1976300
"11726",6995761,26407.41,93358.734,46080,1844094,1655183
"11727",6995775,26076.984,92993.79,46080,1655183,1976300
"11728",6995779,25337.469,92467.73,46080,1924940,1976300
"11729",6995814,111740.14,84676.74,54360,1852781,1975504
"11730",6995815,101199.234,58057.355,50080,1273836,1339663
"11731",6995816,85790.47,102108.85,26000,1405120,1568903
"11732",6995817,101377.83,104004.555,48000,1851228,1276831
"11733",6995830,103778.77,90008.086,38600,2212076,1405294
"11734",6995833,103757.27,89335.7,38600,1583324,2212076
"11735",6995839,103680.87,88976.86,38600,1583324,2212076
"11736",6995843,103863.3,88228.7,38600,2212076,1405261
"11737",6995847,104167.625,86862.16,38600,1405261,2212076
"11738",6995855,103825.92,82820.63,38600,1405261,2212076
"11739",6995858,103520.93,81221.72,38600,1405261,2212076
"11740",6995860,103266.09,79837.93,38600,1850945,2212076
"11741",6995882,100959.42,72094.42,41360,1583898,1672954
"11742",6995911,98450.914,61606.98,43560,2212114,1583963
"11743",6995916,98643.94,58721.2,43600,1583499,2212114
"11744",6995917,98572.66,59099.375,43600,2212114,1583499
"11745",6995925,97716.48,55890.945,43560,944377,2212114
"11746",6995927,57756.61,80821.82,28160,2213694,1620642
